"","listings1$id","host_response_time","host_neighbourhood","zipcode","host_is_superhost","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","bed_type","calendar_updated","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","reviews_per_month","days_btwn_host_review","days_since_last_review","days_since_1st_review","host_response_rate","host_acceptance_rate","host_listings_count","accommodates","bathrooms","bedrooms","beds","price","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","calculated_host_listings_count","count_host_verf","count_amen","days_host_since","weekly_price","monthly_price","security_deposit","cleaning_fee"
"2282",9941923,"NA","Fenway/Kenmore","2446","f","['email', 'phone']","t","f","Fenway","t","Apartment","Entire home/apt","Real Bed","2 months ago","f","flexible","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,0.94,1,6,1,2,2,192,1,1,1,1125,0,0,0,0,0,1,2,13,295,NA,NA,NA,60
"2283",4109165,"within a few hours","West End","2215","f","['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","4 days ago","f","moderate","f","t",80,10,10,8,10,10,8,0.08,689,394,394,0.96,0.68,313,3,1,1,1,219,1,1,3,1125,27,57,87,145,1,61,4,16,1083,NA,6270,NA,100
"2284",14136069,"within a day","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews']","t","f","Fenway","t","Apartment","Entire home/apt","Real Bed","2 weeks ago","f","moderate","f","f",94,10,10,10,10,10,9,1.17,377,49,359,0.89,0.58,1,2,1,1,1,220,1,1,1,1125,23,53,83,358,0,1,3,10,1320,NA,NA,400,NA
"2285",6927063,"within a few hours","Fenway/Kenmore","2115","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Private room","Real Bed","4 weeks ago","f","flexible","f","f",93,10,8,9,10,9,8,0.48,460,80,465,1,0.93,1,2,1,1,1,69,1,27,6,1125,0,0,0,0,7,1,4,10,925,550,1900,NA,NA
"2286",12972378,"NA","Fenway/Kenmore","2215","f","['email', 'phone']","t","f","Fenway","t","Apartment","Entire home/apt","Real Bed","2 months ago","f","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,0.94,1,4,1,1,2,4000,2,33,6,1125,14,31,61,336,0,1,2,15,144,NA,NA,NA,NA
"2287",7499960,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","Fenway","t","Condominium","Entire home/apt","Real Bed","5 days ago","f","moderate","f","f",90,9,9,9,10,10,8,0.74,690,93,387,1,0.5,2,1,1,1,1,295,1,33,4,160,20,20,20,60,9,2,5,14,1077,1200,3200,200,50
"2288",5990896,"within an hour","Fenway/Kenmore","2115","f","['email', 'phone', 'reviews']","t","f","Fenway","t","Apartment","Shared room","Airbed","3 weeks ago","f","strict","f","f",85,9,9,9,9,10,8,2.33,39,29,500,1,0.67,4,1,1,1,1,85,1,1,1,31,26,56,81,356,37,4,3,11,539,356,1890,NA,8
"2289",13147585,"within a day","Fenway/Kenmore","2215","f","['phone', 'facebook', 'reviews']","t","f","Fenway","t","Apartment","Shared room","Real Bed","a week ago","f","flexible","f","f",96,10,10,10,10,10,10,6.43,25,34,107,0.9,1,1,2,1,1,1,60,1,20,1,1125,2,13,31,31,18,1,3,10,132,NA,NA,NA,10
"2290",9040476,"within a few hours","West End","2215","f","['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","4 days ago","f","moderate","f","t",94,10,10,10,10,10,9,1.17,377,49,359,0.96,0.68,313,5,2,2,3,279,1,1,3,1125,30,60,86,86,0,61,4,18,1083,2793,11970,NA,100
"2291",13546070,"within a few hours","Cambridge","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","2 weeks ago","f","flexible","f","f",100,10,10,10,10,10,10,1.9,722,27,86,0.97,0.81,21,2,1,1,1,239,1,1,2,90,10,35,65,340,4,17,4,14,808,NA,NA,NA,NA
"2292",6844012,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","5 weeks ago","f","strict","f","f",100,10,10,10,10,10,10,0.08,137,414,414,0.98,0.55,749,5,2,2,2,199,1,1,3,1125,30,60,90,117,1,136,4,10,551,NA,8649,NA,100
"2293",14662927,"within an hour","Fenway/Kenmore","2215","f","['email', 'phone', 'google', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Private room","Airbed","3 days ago","f","flexible","f","f",90,10,9,10,10,10,9,2,744,26,31,1,1,1,3,1,1,1,83,2,1,1,1125,5,10,33,33,2,1,4,14,775,NA,NA,NA,NA
"2294",2174476,"within an hour","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews']","t","f","Fenway","t","Apartment","Entire home/apt","Real Bed","2 weeks ago","f","strict","f","f",93,9,9,10,10,10,9,2.66,531,42,755,1,0.94,11,4,1,0,1,189,2,17,1,1125,12,29,55,326,65,11,3,9,1286,NA,NA,100,40
"2295",9367059,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","6 days ago","f","strict","f","f",93,10,9,10,10,10,9,1.69,1593,34,165,1,0.9,1,10,1,1,16,229,2,1,2,1125,0,0,0,0,8,1,5,12,1758,NA,NA,200,NA
"2296",14774868,"NA","NA","2115","f","['email', 'phone', 'reviews']","t","f","Fenway","f","Apartment","Private room","Real Bed","today","f","flexible","f","f",100,10,10,10,10,10,10,2,3,29,32,1,0.94,1,1,1,1,1,85,1,1,2,4,0,0,0,0,2,1,3,7,35,NA,NA,NA,30
"2297",11431331,"within a few hours","Downtown Crossing","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","today","f","moderate","f","f",93,9,10,10,9,9,9,1.89,562,50,198,1,0.67,15,3,1,1,1,289,1,1,4,1125,19,49,79,79,11,10,4,17,760,NA,NA,NA,NA
"2298",9130532,"NA","Fenway/Kenmore","2215","f","['phone', 'reviews']","t","f","Fenway","t","Apartment","Entire home/apt","Real Bed","7 months ago","f","flexible","f","f",90,10,10,10,10,10,9,0.33,133,200,207,1,0.94,1,2,1,0,1,110,1,1,1,1125,0,0,0,0,2,1,2,7,340,NA,NA,NA,NA
"2299",13397201,"within an hour","NA","NA","f","['email', 'phone', 'facebook', 'reviews']","t","f","Fenway","f","Apartment","Entire home/apt","Real Bed","3 weeks ago","t","flexible","f","f",100,10,10,10,10,10,10,2,64,44,53,1,1,1,2,1,1,1,175,1,1,2,4,0,1,25,34,2,1,4,14,117,NA,NA,100,30
"2300",1141888,"within a few hours","Fenway/Kenmore","NA","f","['email', 'phone', 'reviews']","t","f","Fenway","t","House","Private room","Real Bed","4 days ago","f","moderate","f","f",90,9,9,10,10,10,9,0.89,14,38,1230,0.93,0.9,1,3,1,1,1,149,2,13,1,1125,0,11,32,32,36,1,3,9,1244,NA,NA,300,25
"2301",14873137,"NA","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews']","t","f","Fenway","t","Apartment","Entire home/apt","Real Bed","2 days ago","f","flexible","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,0.94,1,2,1,0,1,200,1,1,1,1125,0,0,0,119,0,1,3,15,449,NA,NA,NA,NA
"2302",8165898,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","today","f","strict","f","f",93,9,9,7,7,10,9,0.31,235,52,316,0.98,0.55,749,5,2,2,2,319,1,1,3,1125,29,59,89,179,3,136,4,16,551,NA,9145,NA,100
"2303",8335838,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","today","f","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,0.98,0.55,749,5,2,2,2,319,1,1,3,1125,29,59,89,179,0,136,4,10,551,NA,9145,NA,100
"2304",5911004,"NA","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","17 months ago","f","moderate","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,0.94,1,2,1,1,1,260,1,1,2,4,0,0,0,0,0,1,4,8,1224,NA,NA,NA,30
"2305",10186477,"NA","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'kba']","t","t","Fenway","t","Apartment","Private room","Real Bed","5 months ago","f","flexible","f","f",100,10,10,10,10,10,10,0.38,1994,182,262,1,0.94,2,2,1,1,1,50,1,1,1,1125,0,0,0,0,3,2,4,14,2256,NA,NA,NA,NA
"2306",716512,"within a few hours","Back Bay","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","6 weeks ago","f","super_strict_30","f","t",94,10,10,10,10,10,9,1.17,377,49,359,0.89,0.45,558,4,1,2,2,349,1,1,4,1125,29,59,89,364,0,79,4,9,2640,NA,7315,NA,150
"2307",8187595,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","today","f","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,0.98,0.55,749,5,2,2,2,319,1,1,3,1125,29,59,89,179,0,136,4,11,551,NA,9145,NA,100
"2308",4565470,"within a few hours","West End","2215","f","['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","4 days ago","f","moderate","f","t",93,9,9,10,10,10,9,0.15,447,385,636,0.96,0.68,313,5,2,2,3,279,1,1,3,1125,30,60,86,86,3,61,4,17,1083,NA,8070,NA,100
"2309",6467991,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'kba']","t","t","Fenway","t","Apartment","Private room","Real Bed","6 weeks ago","f","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,1,1,1,1,1,1,80,1,1,25,1125,0,0,0,0,0,1,4,12,1301,494,1650,250,100
"2310",6072693,"within an hour","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","a week ago","t","moderate","f","f",97,10,10,10,10,10,10,1.02,331,34,494,1,1,1,2,1,1,1,199,1,1,2,1125,0,0,0,0,16,1,4,11,825,NA,NA,NA,50
"2311",13298014,"within a few hours","Fenway/Kenmore","2115","f","['email', 'phone', 'facebook', 'reviews']","t","f","Fenway","t","Apartment","Private room","Real Bed","5 weeks ago","f","flexible","f","f",60,8,4,10,8,4,6,0.77,61,62,62,1,1,1,1,1,1,1,77,1,1,10,30,0,0,0,0,1,1,4,8,123,NA,NA,NA,NA
"2312",9855,"within a few hours","Back Bay","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","6 weeks ago","f","super_strict_30","f","t",90,10,10,10,10,10,9,0.04,320,2158,2320,0.89,0.45,558,3,1,1,1,259,1,1,4,365,29,59,89,364,3,79,4,12,2640,NA,5700,NA,150
"2313",14624367,"within an hour","Upper East Side","2215","f","['email', 'phone', 'reviews', 'jumio', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","a week ago","f","moderate","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,0.69,122,5,2,2,2,326,1,1,10,20,20,20,20,20,0,13,5,16,718,NA,NA,NA,NA
"2314",8168982,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","today","f","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,0.98,0.55,749,5,2,2,2,199,1,1,3,1125,29,59,89,179,0,136,4,10,551,NA,9145,NA,100
"2315",6268395,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","today","f","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,0.98,0.55,749,3,1,1,1,169,1,1,3,1125,28,58,88,178,0,136,4,17,551,NA,6665,NA,100
"2316",14360470,"within a few hours","Fenway/Kenmore","2115","f","['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Private room","Real Bed","4 weeks ago","f","flexible","f","f",100,10,10,10,10,10,10,1,481,31,31,1,1,1,1,1,1,1,70,1,1,1,22,0,0,0,217,1,1,5,9,512,NA,NA,NA,5
"2317",6446940,"within a few hours","Fenway/Kenmore","2115","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Private room","Real Bed","3 months ago","f","flexible","f","f",70,8,7,8,9,9,8,0.27,32,89,470,1,1,1,2,1,1,1,98,1,1,1,1125,0,0,0,0,4,1,4,7,502,NA,NA,NA,NA
"2318",7869497,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","2 months ago","f","strict","f","f",60,6,6,7,6,8,6,0.23,271,257,280,0.98,0.55,749,3,1,1,1,349,1,1,3,1125,30,60,90,275,2,136,4,0,551,NA,7409,NA,100
"2319",14468407,"within an hour","Fenway/Kenmore","2115","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Private room","Real Bed","3 weeks ago","t","flexible","f","f",90,10,8,9,10,10,8,2,695,40,46,1,1,1,2,2,1,1,90,1,2,1,1125,0,0,0,24,2,1,4,13,741,NA,NA,NA,10
"2320",6790961,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","4 days ago","f","strict","f","f",100,10,10,10,10,10,10,0.11,252,299,299,0.98,0.55,749,5,2,2,2,319,1,1,3,1125,29,59,89,179,1,136,4,11,551,NA,8649,NA,100
"2321",12183851,"within a few hours","Fenway/Kenmore","2115","f","['email', 'phone', 'reviews']","t","f","Fenway","t","Apartment","Private room","Real Bed","2 months ago","f","moderate","f","f",79,8,6,10,9,9,8,4.17,15,105,167,1,0.91,1,1,1,1,1,70,1,1,1,30,0,6,33,308,20,1,3,10,182,NA,NA,NA,NA
"2322",7219056,"within a few hours","West End","2215","f","['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","4 days ago","f","moderate","f","t",94,10,10,10,10,10,9,1.17,377,49,359,0.96,0.68,313,3,1,1,2,379,1,1,3,1125,30,60,86,86,0,61,4,17,1083,NA,6450,NA,100
"2323",12969783,"within an hour","Upper East Side","2115","f","['email', 'phone', 'reviews', 'jumio', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","3 days ago","f","moderate","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,0.69,122,4,2,2,2,315,1,1,10,1125,9,39,69,344,0,13,5,16,718,NA,NA,NA,NA
"2324",14823724,"within an hour","South Boston","2115","f","['email', 'phone', 'amex', 'reviews', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","3 days ago","f","strict","f","f",100,10,10,10,10,10,10,1,721,31,31,0.99,0.81,30,6,1,1,2,200,3,26,1,1125,11,11,11,11,1,24,5,13,752,NA,NA,99,50
"2325",9496325,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'kba']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","2 weeks ago","f","strict","f","f",87,9,9,10,9,10,9,0.41,469,44,313,0.94,0.18,1,3,1,1,2,145,1,1,2,1125,4,13,43,318,4,1,4,11,782,NA,NA,NA,25
"2326",8335652,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","today","f","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,0.98,0.55,749,5,2,2,2,319,1,1,3,1125,29,59,89,179,0,136,4,10,551,NA,9145,NA,100
"2327",10034930,"within a few hours","Fenway/Kenmore","2215","f","['email', 'phone', 'reviews', 'jumio']","t","t","Fenway","t","Apartment","Entire home/apt","Real Bed","today","f","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,0.98,0.55,749,5,2,2,2,199,1,1,3,1125,30,56,86,113,0,136,4,13,551,NA,NA,NA,100
